Street,zipcode
1613 Lobo Mountain Ln in Round Rock,78664
5616 Old Frederickburg,78749
2929 S Lamar Blvd,78704
308 West North Loop Boulevard,78751
100 Wonsley Dr E,78753
6101 Airport Boulevard,78752
Lambs Ln,78744
Cotton St And Angelina St,78702
9222 Burnet Road,78758
1113 York Castle,78660
1017 N.Meadow,78758
2508 East Riverside Drive,78741
1506 Garden St,78702
Pearce Ln And Linden in Del Valle,78617
Abia Car Rental Area,78719
4800 Ross Rd in Del Valle,78617
5700 West Slaughter Lane,78749
3504 Harmon Ave,78705
13000 N Ih 35,78753
5500 Manchaca Rd,78745
1138 Cornell St,78702
South 1St And William Cannon,78745
Slaughter And 1826,78737
2318 Willow,78702
1840 Burton Drive,78741
1701 Giles St,78722
Labrador Cove And Foxhound Trail,78729
Slaughter Ln And Curlew Dr,78748
7900 Fm 1826 Rd,78737
6801 Citadel Cot,78723
9828 Great Hills Trl,78759
5807 Sweeney Cir D,78723
534 Sendeero Verde in Travis,78652
3308 Thompson,78702
4529 Clawson Rd,78745
336 S Congress Ave,78704
2001 W Howard Ln,78728
14020 Wells School Rd in Travis,78653
901 Valdez St,78741
6816 Lee Manor Cv in Manor,78653
1050 E 11Th St Suite #250,78702
1208 Anise Drive,78741
3901 Tannehill Lane,78721
Carnation Ter/Larch Ter,78741
707 Botany Bay Circle in Pflugerville,78660
124 W. Anderson Ln,78752
Bolm Rd & Shady Ln,
750 Springdale Rd,78702
6536 Tara Dr,78747
2433 Rutland Dr #300,78758
South Congress And Dittmat,78748
7404 Danwood,78759
9702 Swansons Ranch Rd,78748
Paso De Vaca St & Bar K Ranch Rd in Lago Vista,73026
15419 Giese Ln in Travis,78653
N Lamar Blvd & Cooper Dr,
1602 Sweetbriar Ave,78723
2310 Wickersham Ln #2007,
912 Emerald Wood,78745
2502 Citation Dr in Travis,78617
505 E Grady Dr,78753
2308 Wickersham,78741
Dells Childrens Hospital,78723
Fulkes in Travis,78641
5510 S I H 35,78745
Delta Post And Webberville,78724
4807 Aberdeen Dr,78745
9201 Farm To Market Road 812 in Travis,78719
St John And Cameron,78752
Hunters Chase Dr,78729
45Th 1/2 And Caswell,78751
Fm973 And 183,78719
Little Pebble And Mearns,78758
7017 Hillcroft,78724
11906 Sunhillow Bend  B,78745
1114 E Cesar Chavez St,78702
14807 Hwy 290 E in Manor,
4535 Texas 71 in Del Valle,78617
7108 Hillcroft Dr,78724
Von Quintus And Majalu,
Slaughter And South 1St,78744
4604 Reyes St,78721
West Gate Blvd And Sea Jay Dr,78745
1700 East Parmer Lane,78754
5103 Palo Blanco Ln,78744
6902 Providence Ave,78752
Burleson Rd & Mckinney Falls Pkwy,
White House St in Travis,78653
Fm 812 And Elroy Rd in Travis,78617
Jones And Manchaca,78745
5925 J M Holloway,78724
1706 Hether St,78704
14201 Fagerquist Rd in Del Valle,78617
Fm 969,
407 Delmar Ave,78752
1205 Southport Dr #104,
12140 Tunnel Trail in Travis,78652
5413 Evans St,78751
Lofton Cliff in Del Valle,78617
Kilmartin Ln,
12317 Scribe Dr,78759
5700 S 1St,78745
2400 Nueces St,78705
Riverside & Ben White,
Salt Springs And Tara Dr,78747
E William Cannon Dr And Dixie,78744
10704 Quail Valley Dr in Travis,78641
3001 Maplelawn Cir,78723
3400 West Slaughter Ln,78748
E Howard Ln And Harrisglenn,78753
71 West And Hamilton Pool Rd in Bee Cave,78738
2008 E Stassney,78744
8800 Highway 290,78724
6106 Carnation Ter,78741
5301 East Stassney Lane,78744
4800 Steiner Ranch,78732
747 Cherico St,78702
Weiss Ln And E Pflugerville Pkwy in Pflugerville,78660
109 West Anderson Lane,78752
2204 Trede Dr,78745
William Cannon & S Ih 35,
5011 Freidrich Ln,78744
William Cannon And S 1St,78745
13450 N 183 Hwy,78729
3221 Scenic Overlook Trl in Travis,78734
Ben White & Montopolis,78704
Westgate & 290,85305
15856 Sambuca Cir,78728
5102 Merrit Dr,78744
7907 Persimmons Trl,78745
1044 Camino La Costa,78752
6118 Hylawn,78723
6608 Ashland Dr,78723
1211 Inks Ave,78702
5301 Martin,78751
6501 Ponton Place,78731
614 South 1St,78704
3115 Texas 71 in Del Valle,78617
12317 Scribe,78759
3935 Shoal Creek Blvd,78756
1414,78741
5501 Avenue F,78751
S Heatherwilde Blvd And W Pecan St in Pflugerville,78660
5413 Manchaca #153,78745
2310 Berkeley Avenue,78745
3409 Hillview Rd.,78703
3212 Barksdale Dr,78725
1800 E Stassney Ln Under Bridge,78744
Ponca And Valdez,78741
15300 1825 Rd,78660
8601 Fireside Dr,78757
2008 Pompton,78757
Montopolis And Burleson,78744
5819 Encinal,78744
7122 Wood Hollow Drive,78731
8708 Barrow Glen Loop,78749
305 E Yager Lane,78753
Hansa Drive And La Crosse,78739
5107 Peppertree Pkwy,78744
7100 E 290,78723
Friendship Quilt And Lantern in Pflugerville,78660
Big View Dr And Turmin,
7205 Hart Lane,78731
Ben White/Winddrift,
Austin Housing Authority,78704
183/Mlk,
14025 Maricella Lane in Pflugerville,78660
6808 Bay City Bnd,78725
2009 Vista Ln,78703
4433 Terry O,78745
Hamilton And Chicon,78702
8401 South 1St Street,78748
Woodlily/Basketflower in Travis,78621
Green Emerald Terrace And Brodie Ln,78739
1000 E 41St Street,78751
1711 Rutland,78758
13000 N I-35 Svc Road Sb,78753
8534 South Congress Avenue,78745
Fitzhugh/ Longbranch in Travis,78736
5612 Sunday Silence,78617
1104 Ebert,78721
4800 Convict Hill Rd,78749
5710 Reicher Dr,78723
Kodiak Dr And Silver Trl in Round Rock,78664
Samsung Blvd & Sprinkle Cutoff Rd,78754
Woodmont And Forest Trail,78703
3651 S Interstate 35 Frontage Rd,78741
S Congress Ave & W Riverside Dr,
20300 #B Trappers Trl in Manor,64057
W William Cannon And Emerald Forest,78745
4021 Steck,78759
Wheless Ln & Dorchester Dr,78723
2603 Geronimo in Travis,78734
8802 Little Walnut Dr,78753
Montopolis And Porter St,78741
Georgian Dr & Anderson Ln,01602
2506 Piping Rock Trl,78748
5605 Nuckols Crossing,78744
4523 Tannen Hill Ln,78744
2237 East Riveride Drive,78741
800 W 38Th,78705
Springdale And 51St,78723
801 Post Oak,78704
5708 S Congress Ave,78745
Quicksilver & S Pleasant Valley,64093
7700 Katydid Dr,78744
Susquehanna Ln & Dubuqe Ln,78723
Nuckols Crossing And View Point Dr,78744
3401 Norwood Hill,78723
6412 S Ih35,78745
6Th St/Comal,78702
4706 Leslie Ave,78721
5107 Ih 35,78744
324 Middle Ground Cove,78748
2800 Metcalfe Rd,78741
5Th St And San Jacinto,78701
Fenton Dr & Cracklin Creek Dr,73112
7227 Us Hwy 290,78749
12069 Dessau Rd,78754
2200 Caldwell in Travis,78617
18202 River Timber in Travis,78617
7501 Compass Dr in Travis,78724
8003 Decker Ln in Travis,78724
1600 Citation in Travis,
1305 Citation Cir in Travis,78617
15310 Fagerquist Rd in Del Valle,78617
10101 S 1St St,78748
3116 River Rd in Travis,78734
831 N Meadows Dr Side A,78758
Mcneil And 2222,78750
2204 Donahue Ln #B,78744
7403 Vinca Cir,78744
Mimebark And Webberville Rd,78724
7800 Broken Lance Dr,78737
2854 East State Highway 71 Service Road,78617
8609 Talyne Chaise,78729
Powell/I-35,78753
6801 Ashprington Ln,78754
2409 Braxton Cv,78741
51St And Berkman Dr,78723
11208 Blossom Bell Drive,78758
Cambell Ln,78613
12324 Alderbrook Dr #B,78758
11800 Domain Blvd,78758
1817 Wooten Dr,78757
6611 Galindo St,78741
Coffee Cup Cv,78744
Airport Commerce Dr & E Riverside Dr,78741
1803 Chicon,78702
W. Overroad,
107 Center Ridge Dr,78753
7201 S. Congress Ave.,78745
6405 Sandshof,78724
5710 Duval St,78752
6808 Shannon Dr,78724
8146 Ceberry Dr #A,78759
12302 Blue Water,78758
12713 St Marys in Manor,78653
12708 Ring Dr in Manor,78653
15109 Nuttall Dr,78724
1302 Begonia Ter,78741
Stassney And Rose Hill Circle,78745
206 Red Bird,78745
11411 Research Boulevard,78759
6012 Speyside Dr,78754
2333 Aldford,78745
600 Block Great Britian,78748
7102 Providence,78752
Dessau Rd  And Hwy 183,78754
7007 Apperson St in Del Valle,78617
2829 South Lakeline Blvd,78613
11201 Jolley Bluff Dr,78745
Red River And 32Nd St,78705
Valleyridge Dr & S Oak Dr,96003
1502 Summer Stone Dr,78704
3300 Dolphin Drive,78704
1400 Rosewood,78702
109 W Mockingbird  Ln,78745
5107 Interstate 35,78744
4500 Nuckols Crossing,78744
1106 Oak Hurst Dr,78734
Plantation Rd And Wavertree Ct,78745
12424 Copperfield Dr,78753
Pedernales St And  E 7Th St,78702
5701 York Bridge Cir,78749
6410 Ponca,78741
Cameron And Parmer in Manor,78723
6912 Onion Crossing Dr,78744
Oltorf/S.1St,78704
5811 Mesa Dr,78731
11210 Rr2222,78730
11506 Eubanks Dr,78758
9905 Woodglen Dr,78753
7300 Elm Forest Road,78745
101 E Starling,78753
2700 Gracie Farms Ln 221,78758
6400 Fm 973,78724
2425 Cromwell Circle,78741
13914 Tophill Cir in Travis,78660
13914 Tophill in Travis,78660
4108 Clawson Rd,78704
12420 Sky Harbor Dr in Del Valle,78617
14101 Maricella Ln in Pflugerville,78660
9500 Lime Creek Rd in Travis,78641
8939 Anna Street,78748
7806 Blue Goose Rd in Manor,78653
Manchaca Rd & Fortview Rd,
Clawson Rd And Fortview Rd,78704
9608 Crown Ridge Rd,78753
6Th And 7Th Street,78702
10702 Landshire,78758
Howard Ln And Mcallen Pass,78753
8521 E Parmer Ln in Manor,78653
2209 Park Ln in Webberville,78621
Maulding Pass And Sumerset,78749
2601 Scofield Ridge Pkwy,78727
2215 East 51St Street,78723
9100 Georgian Dr,78753
2510 Sweet Clover Dr,78745
11712 Hwy  S 183 in Travis,
Peach Grove And Spring Meadow,78744
1515 Royal Crest #3110,
8801 High Valley Rd in Travis,78737
1770 Cricket Hollow Dr,78758
8107 Seeling Drive,78744
11537 Shady Meadow Was,78653
Vargas And Felix,78741
8815 High Valley in Travis,78737
Dobie Dr,78753
5700 Stevens Creek Way,78721
9036 Lamar # 109,78753
2210 Enfield Rd,78703
4612 Convict Hill Rd,78749
906 E 5Th St,78702
9701 Burkland Farms in Travis,78719
211 Comal,78702
E Stassney Ln And Mira Dr,78745
Mountain Quail/Oak Run,78758
Elmont Dr And Wickersham,78741
Keats Dr & Panther Trl,29680
St Elmo/Congress,78745
1511 San Jacinto,78701
5600 Vine Hill,78744
6517 Moonglow,78724
Lipan And Cuernavaca in Bee Cave,78733
810 Bastrop Hwy #6,
6500 River Place Blvd,78730
2809 Ray Wood Dr,78704
1104 Strickling Dr in Pflugerville,78753
6407 E Riverside Dr,78741
7300 Salt Springs Dr,78744
5205 Regency Dr,78724
Hwy 183 And Maha Circle in Travis,78719
600 Trinity St,78701
9109 Southwick,78724
7400 Crystalbrook,78724
2613 Friar Tuck,78704
14808 Earl Grey Ln in Pflugerville,78660
Olive Hill And Nina,78717
Baythorne And Wiley Way,78747
Sally Lunn Way And Sassfras Trl in Pflugerville,78660
Manchaca And Frate Barker,78748
Twin Crest Dr And St Johns,78752
2302 Durwood St,78704
6001 Airport Boulevard,78752
6118 Fairway St#135,78741
5401 E Mlk,78721
1604 Whellis,78723
13730 N Fm 620 Building #12,78750
Dellray And Leeann Dr,78758
2601 S.Pleasant Valley,78741
1144 Gunter,78721
Hwy 183 And Mlk,
7214 Dan-Jean Dr,78745
7605 Marl,78747
3107 Speedway,78705
Mlk/ Chicon,78702
4606 Senda Ln in Travis,78725
1002 Lott,78721
Roseborough Dr And Forbsdale Dr,78747
6810 Kings West Point,78723
14809  Chicadee in Travis,78660
Sherwyn And Craigwood,78725
1423 Westmoor Dr,78723
1411 Shawee Circle,78734
Gregg Manor in Manor,78653
Sweet Clover And Alabama,78745
1709 E. 71,78742
1709 Hwy #98,
Fletcher And Old Bee Caves Rd,78746
2503 Lakehurst Dr,78744
3222 Lacy Ave in Del Valle,78617
Hwy 35 And Braker,78753
609 Bastrop Highway,78741
6807 Pondsdale Ln,78724
7008 Hillcroft,78724
2101 Crystal Bend Dr,78660
13628 Gregg Manor Rd in Manor,78653
W 35Th St And Cedar,78705
"5106 Village Square,",78744
8401 Colony Loop,78724
6914 Colony Loop Dr,78724
14306 Vandever in Travis,78725
6804 Old Lockhart Rd in Mustang Ridge,78610
Mopac Bridge @ Lady Bird Lake,
1301 Mopac,78746
Braker Ln And Parkfield,78758
4409 Stassney Ln,78744
5004 Cape Verde Cove,78744
801 W 5Th St,78703
Parmer And Spectrum,78717
3101 Wells Branch Parkway,78728
16704 Trevin Cv in Manor,78653
715 E 8Th Street,78701
101 Hergotz Lane,78742
Old Lockhart And Fm 1625,78747
4801 S. Ih 35,78744
700 South 1St,78704
703 Enterprise Ct,78723
Austin Humane Society,78752
211 E 7Th St,78701
5Th/Oltorf,78704
9616 Point Vista,78753
2613 S 1St St,78704
8306 Colony Loop & 7000 Decker Ln,78724
6615 Berkman Drive,78723
9716 Sugar Hill Dr,78748
7109 Barnsdale Way,78745
2410 Sheri Oak Ln,78748
4800 South Congress,78745
8220 W Sh71 Hwy,78735
5609 Honeybee Bnd,78744
11225 Avering Ln,78754
"Rockwood Lane, Austin,",78757
4701 Ramies Run,78749
14600 Yora Dr,78728
E3. Mlk,78752
5701 Signal Point,78724
20747 Fm 969,78621
7233 Manchaca,78745
Peach/Clementine,78744
"13903 Dewberry Drive, in Pflugerville",78660
619 South I H 35,78704
Thaxton/William Cannon,78744
Yaupon/Oakview,78759
5609 Gloucester,78723
Baham Dr And Vizquel,78617
13304 Thome Valley in Travis,78617
Peachgrove And Lira,78701
8800 Little Walnut Dr,78753
409 E William Cannon Dt,78745
"Corona Drive, Austin, Tx",78723
Copper Creek Dr And Land Dr,78729
5808 Wilcab Rd,78721
1129 Penion Drive,78748
Cunningham Elementary School,78745
Lindshire/Rochelle,78748
Sandifer St And Austin Colony Blvd,78725
2409 Quarry Rd,78703
Merseyside Drive in Pflugerville,78660
"Cherrydale Drive, Austin, Tx",78745
Thornberry Rd,78617
7421 Muffin Dr,78724
La Posada And Camino La Costa,78752
8107 N Fm 973,78724
E 18Th And Harvey,78702
1112 Wild Basin Ledge,78746
2101 Kenwood Avenue,78704
1909 Tillotson Ave,78702
1308 Thornberry #110,78617
13206 Rochester Lane,78753
1317 Exposition Blvd,78703
Burleson And Ben White,78741
8508 Daleview Dr,78757
Rodriguez Rd,78747
2018 W Rundberg Ln,78758
2301 S 3Rd St,78704
Westgate And Stassney,78745
2608 Tracy Trail,78728
509 Seminole Dr,78745
8312 Fathom Cir #805,78750
Ramsey And 49Th,78756
Stassney/ Manchaca,78745
Hwy 183/ Georgian,
8611 Ingrid,78621
7900 Persimmon Trail,78745
1200 Alamo,78702
1200 E. Rundberg,78753
11503 Hill Top St,78753
5200 Knoght Cir,78723
701 E Stassney,78745
Onion Creek Dr & Shady Cedar Dr,78652
9210 Circuit Of The Ameri in Del Valle,78617
4000 S 35,78751
21005 Godolphin Ct in Pflugerville,78660
108 W 45Th,78751
3733 Bronco Bend Loop,78744
10007 Webbwood Way,78724
8220 W Highway 71,78735
3500 Harmon,78705
6920 Manchaca Road,78745
2021 East Riverside Drive,78741
4201 Monterey Oaks,78749
3106 Northeast Dr,78723
6212 Manchaca Rd,78745
8907 Unice in Travis,
Wells Branch in Pflugerville,78728
San Jose in Travis,78704
10308 Littlepebble,78758
6518 Ed Bluestein Blvd Sb,78723
Uttimer And Fallen Tower Ln,78753
9308 Fm 969,78724
1401 St. Edwards Drive,78704
2314 Deadwood Dr,78744
Shadow Glen And Tercel Trace in Manor,78653
13208 Billiem,78727
406 Seminole,78745
5108 Bob Wire in Travis,78669
Oltorf And Riverside,
Wentworth & Colony Loop,64873
Hwy 183 in Creedmoor,
7314 Bennet Avenue,78752
5901 Ih 35,78723
Bois D Arc Rd And Hwy 290 in Manor,78653
Pebble Run Path in Manor,78653
1100 E. Howard,78753
Ih 35 in Hays,
Burnett Rd And Ohlen Rd,78757
Terra Vista/Rialto Blvd,78735
6501 E. Hill Dr,78731
3401 Andtree Blvd in Travis,78724
E 38 1/2 St & Maplewood Ave,
4200 Brookview Road,78722
15325 Fernhill Dr,78717
711 E 50Th # B,
400 Bastrop Highway,78741
"5607 Williamson Rd, Creedmoor, Tx in Creedmoor",78610
Mckinney Parkway And Hwy 183,78744
"Bee Cave, Tx in Bee Cave",
Pecan Springs Rd And Norwood Hill,78723
103 W Applegate Dr,78753
Sendero Hills Pkwy & Loyola Ln,78724
6700 Quinton Dr,78747
9307 North Lamar,78753
4220 Duval St,78751
15004 Chamberlain Ct,78724
9120 Swanson Ln,78748
4600 Nuckols Crossing Rd,78744
Ih 35 & 51St St,
8900 Ni-H35 #1004,
503 Kenniston Dr,78752
14811 Chicadee in Travis,78660
821 Woodward St,78704
Techni Center Dr,
Arnold Dr & Manor Rd,72703
3300 Killingsworth Ln in Travis,78660
6309 Del Monte,78741
6801 Northeast Dr,78723
7209 Crystalbrook Drive,78724
4107 River Rd in Travis,78612
N Lamar Blvd And Masterson Pass,78758
Hwy 183 And Hibbetts,78757
10701 South 1St St,78748
14809 Vevey Dr,78617
Parmer,
7209 N Lamar Blvd,78752
500 E Wonsley,78753
8503 Apple Carrie Cv,78745
7309 W William Cannon,78735
600 W William Cannon,78745
Chicon And Nash Hernandez Sr,78702
11193 Lambert Ln in Travis,78719
11502 January Dr,78753
13Th St And Harvey St,78702
6200 Linda Ln,78723
9100 Evelyn Rd in Travis,78747
9704 Giles Ln,78754
6711 Johnny Morris Rd,78724
"Windsor Park Library, Westminster",78723
5701 Springdale Rd,78723
4008 Rosedale Ave,78756
14029 Lampting Dr,78660
8202 Riverstone Dr,78724
3413 Buck Race,78748
5510 S Ih 35,78745
Brightling Ln And Pickfair,78750
107 Oertli Ln,78753
200 Beaver Street,78753
5212 Feller Cove in Del Valle,78617
12421 Turtleback Lane,78727
3401 Red River,78705
3906 Del Robles,78727
S Pleasant Velley Rd And S Lakeshore Blvd,78741
Prince Phillip Way/Field Stream in Manor,78653
Glen Mark Drive in Manor,78653
5302 Towser Ct,78744
4809 Brook Crest Rd,78744
360 And Mopac,78746
2300 Berkett,78745
6801 Beckett Rd,78749
12511 Twin Creeks Rd,78652
"12511 Twin Creeks Rd, Manchaca, Tx 78652",78652
5304 Ledesma Rd,78721
"505 Hardin Ct, Austin, Tx 78753",78753
Nuckols Crossing Rd And Stassney Ln,78744
11703 Oak Haven,78753
3014 W William Cannon #1236,
6504 Colina Lane,78759
14207 Weldon,78728
5405 South Pleasant Valley Rd,78744
10542 Indigo Broom Loop,78733
8627 Research Blvd,78758
1416 Geoffs Dr,78748
10420 Garbacz Dr,78748
4715 Little Hill Circle,78725
Anderson Mill Rd And Spicewood Pkwy,78750
6217 S Congress,78745
East Cesar Chavez,
7301 Glennhill Rd,78752
1012 Wisteria Trail,78753
6704 Edwardson Cv,78749
2607 Alcott Ln,78748
1601 Royal Crest Dr,78741
4586 Clarno Dr,78749
Avenue G/42Nd,78751
280 Dry Creek Rd in Manor,78653
Lipan Trail & N Cuernavaca Dr,76108
11703 Shoshone,78759
9345 Hwy 290 E Apt #2207,
6600 Farm To Market 969,78724
7601 Bella Vista Trail,78737
9133 Northgate Blvd,78758
Levander in Travis,
William Cannon & Cooper Lane,78744
Found Parker And Oltorf,78741
Blessing Ave & St Johns,78752
1186 Inland Greens,78758
Ih 35 And 11Th St,78701
9017 Laurel Grove Dr,78758
6819 Suena Dr,78741
6800 Suena,78741
13817 Field Spar Dr in Manor,78653
9307 N. Lamar Blvd,78753
6601 Starcrest Ln,78724
6728 Lost Valley,78745
7020 Village Center,78731
3209 Barksdale Dr,78725
2518 Leon St,78705
14711 Meniffe St,78725
2700 Brodie Lane,78735
12 And Ih 35,78753
Colonial Park Blvd And Windledge Dr,78745
6402 Colton-Bluff Springs Rd,78744
15107 Lantern Dr in Travis,78660
1720 Grand Ave Pkwy in Pflugerville,78660
503 W 27Th Street,78705
7000 Apperson St in Travis,78617
6909 Wentworth Dr,78724
E 53Rd St And Depew Ave,78751
Bennett & 53Rd St,67301
1211 Dobie Dr.,78753
13145 Us-183,78750
1610 E 3Rd St,78702
Anken Dr & Riverside,78741
4900 E Oltrof St,78741
1906 Newton St,78704
Us Hwy 183 And Airport Blvd,78742
5605 Westminster Dr,78723
4902 Russet Hill,78723
4213 Canyon Glen Cir,78732
19500 Block Of Ming Trail in Lago Vista,78645
South Lamar & Barton Springs Road,
309 N Pleasant Valley Rd,78702
5903 Wideleaf,78724
Woodland Oaks,78744
1600 Webberville Rd,78721
8209 Bluff Springs Rd,78744
Fm 1327 in Travis,
2505 Rosewood Ave,78702
18325 Lake Edge Ct in Travis,78660
18124 Masi Loop in Travis,78660
3908 Hidden Lake Xing in Travis,78660
11507 Buster Crabbe Dr,78748
11500 Briarcreek Loop in Manor,78653
10107 Rodriguez Rd,78747
8417 Red Willow,78736
14805 Vevey Dr in Del Valle,78617
12428 Sky Harbor in Travis,78617
Sky Harbor Dr And Ross in Del Valle,78617
Manchaca And Berkeley Ave,78745
2104 E Anderson Lane,78752
Fm 1826 And Slaughter Ln,78748
4411 Meinardus Dr,78744
Bluff Springs Rd And Nelms Dr,78744
5200 Cocao Cir,78744
Wickersham And Oltorf,78741
2011 Conestoga,78744
1219 S Lamar Blvd,78704
7000 Woodhue Dr,78745
1105 Thurgood Circle,78721
Montopolis & Grove,78741
2303 Santa Rita  St,78702
11403 Burton St in Manor,78653
10702 Topperwein Dr,78758
Colt Dr & Mustang Mesa in Travis,97202
9435 Middle Fiskville Rd,78753
8905 Pointer Ln,78758
3404 Webberville Rd #3401,78702
7949 Mesa Trail Cir,78731
9408 Dessau Rd,78754
8706 Dandelion Trl,78745
4014 W William Cannon Dr,78749
1011 Kramer Ln,78758
12921 Galleria Cir in Bee Cave,78738
Fletcher Ln & Old Bee Caves Rd,94544
Braker Lane And Ih 35 Service Rd,78753
11135 N Ih- 35 Service Rd,78753
8917 Southwick Dr,78724
Decker Ln And 969,78724
Wolf Ln And Hwy 71,78617
2800 Gettysburg Dr,78745
Stassney And South 1St,78745
Ih 35 & Woodward St,
6910 E William Cannon Dr,78744
6503 Bluff Springs Road,78744
Bluff Springs Rd And Quicksilver Blvd,78744
11307 Jim Thorpe Ln,78748
N Fm620/ Anderson Mill,78750
"1100 Grand Ave Pkwy, Pflugerville, Tx 78660 in Travis",78664
1601 Montopolis,78741
8701 Fm 969,78724
Old San Antonio And 1626,
Lockerbie And Pigfair,78702
8007 Colony Loop,78724
8003 Hidden Lake Crossing in Pflugerville,78660
1209 Vargas,78741
7908 Parliament Pl,78759
5398 Purple Sage Dr,78724
4511 Quicksilver Blvd,78744
1900 San Gabriel St,78705
Oak Creek Dr & Pegasus St,43229
500 W 5Th St,78701
Diamondback And Brownie Dr,78753
24601 Fawn Dr in Travis,78641
Blarwood And Westgate,78745
8700 S View Rd,78737
7310 Blessing Ave,78752
Paramount Ave. & Montclaire St,78704
Brookhaven Dr,78704
Tom Miller/Cal Rodgers,78722
13809 N Hwy 183,78729
W 45Th St & N Lamar Blvd,10036
20289 Fm-969 in Manor,78724
2402 Eagle Point in Lakeway,78734
Fm 1626/Manchaca in Travis,78652
16721 Decker Creek Drive in Manor,78653
Comal And East 4Th Street,78702
West William Cannon/S.1St,78745
Ida Ridge And Century Park Blvd,78727
11441 Ih-35 North,78753
2100 Patsy Pkwy,78744
1729 Constantino Cir,78745
12111 Von Quintus Road,78719
Clawson Rd,
Ben  White And Clawson,78704
1608 Morgan Lane,78704
22906 Big Sandy Dr in Leander,78641
12900 N Ih -35,78753
8778 Interstate 35 Frontage Rd,78753
Red River & 45Th Street,
Red River And 45Th,78751
1555 Bastrop Hwy,78742
18220 Great Valley Dr in Travis,78613
40Th And Airport,78722
1405 E 4Th St,78702
508 E Howard,78753
11011 Hwy 290 in Manor,78653
501 El Paso St,78704
Manchaca Rd & W Slaughter Ln,
183 And Maha Loop Rd,78719
19111 Fm969 in Travis,78653
5510 South Ih35,78745
110 Inner Campus Drive,78705
11814 Indianhead Dr,78753
Tillery/Goodwin,78702
405 Pedernales St,78702
4212 Avenue D,78751
4500 Avenue F,78751
13417 Cameron in Manor,78754
E 7Th St And Shady Ln,78702
5024 Bolm Rd,78721
12609 Dessau Rd #42,78754
2401 Glen Springs Way,78741
9500 East Highway 290,78724
1598 Thornridge Rd,78758
722 S 1St St,78704
2101 Rio Grande,78705
5707 Johnny Morrios,78724
Found At Mckinney And Terrell Ln,
Crownspoint And Roxanna Dr,78748
Marble Creek Dr And Marble Ridge,78747
1803 E Anderson Ln,78752
1310 Delano St,78721
2211 Lawnmont Ave,78756
10528 Channel Island Dr,78747
408 Eberhart Ln,78745
Fm 969 And Cadilac Dr,78724
2200 Palmera Cv,78744
Metric And Palmer,78727
1708 Shadowview Dr,78758
571 Rupen Dr in Lakeway,78734
4803 Mandoza St,78721
14702 Varrelman St,78725
14706 Varrelman in Travis,78725
8644 Piney Creek Bend,78745
Shady Valley And Apache,
6001 Shepherd Mountain Cv,78730
1306 Perez St,78721
5955 Ed Bluestein Blvd,78724
1003 Justin Ln,78757
907 West Slaughter Lane,78748
8901 Viking,78758
3100 Stardust Dr,78757
Manchaca And 1626,78748
12041 Dessau Road,78754
8515 S 35,78744
10812 South Interstate 35 Frontage Road,78748
Palmbrook Drive,78717
6101 Caroline Ln in Travis,78724
1513 Stone Hill Dr in Travis,78660
14417 Harcourt House Ln in Travis,78660
5916 N Lamar Blvd,78752
9501 Quail Village Ln,78758
7512 Catseye Lane,78747
Salimester & Cutty in Lakeway,
907 E Riverside Dr,78704
1171 E Howard Ln,78753
1500 West Parmer Lane,78727
11110 Renel Dr #A,78758
4712 E Mlk Jr,78721
13221 Pecan Hill Cove,78653
Hill Wood And Emerald Forest,78745
Rutherford And Furness,78752
40 N Ih 35,78701
Live Oak And Bouldin,78704
2600 Scofield Ridge Pkwy #435,78727
2900 W Anderson Ln,78757
7800 Johnny Morris Rd,78724
East 5Th And Pedernales,78702
1507 Man O War Dr in Travis,78617
6801 E Riverside Dr,78741
12219 Wallingstone Ln,78750
2323 Teri Rd.,78744
Circuit Of The Americas Blvd in Del Valle,78617
6117 Randleman Dr in Travis,78617
12300 Harris Branch Pkwy in Manor,78653
1110 Westbank Dr,78746
220 Webberwood Way N in Webberville,78621
Quicksilver And Stoneleigh,78758
Colton Bluff Springs Rd in Travis,
1500 Royal Crest Dr Bldg 5,78741
2501 Wickersham Ln Bldg 18,78741
2632 Century Park Blvd,78727
Lost Creek Blvd & S Capital Of Texas Hwy,
Twisted Briar,78729
1007 W 24Th St,78705
301 W 2Nd,78701
2305 Turtle Mountain,78748
12405 White Eagle,78748
7200 Salt Springs,78744
7155 E William Cannon Dr,78744
Us Hwy 183 And Howard Lane,78750
Blue Crest Dr And Bluebonnet,78704
E. 13Th St & Maple Ave,
Springdale And Hwy 183,78723
4411 Scottsdale Rd,78721
801 Bluffstone Cove,78759
South 1St St And Slaughter Ln,78744
11304 Hornsby St,78753
Springdale Rd And Hwy 290,78724
1506 Pine Knoll Dr,78758
6307 Bluff Springs Rd,78744
2201 E Stassney Ln,78744
4605 Cottonwood St,78744
4500 Steiner,78732
9205 Quail Cv,78758
2212 Metcalfe Rd,78741
1206 Miami Dr in Travis,78733
4700 Riverside Dr #1411,
8210 Sam Rayburn Dr,78753
7007 Stonleigh Pl,78744
5000 Coffee Cup Cove,78744
6101 Garden View Drive,78724
5707 Magee Bend,78749
Limon Lane,78704
Black Locust & Pfenning in Pflugerville,53703
808 Dawson Rd,78704
Duval & Mopac,
727 Airport,78702
19500 Webberville Rd,78653
Fm 969/Decker Lane in Travis,78724
Slaughter Lane/S Ih 35,78748
